schema,table,column,data_type
public,BKPF,xref1_hd,text
public,BKPF,xref2_hd,text
public,BKPF,xreversal,text
public,BKPF,reindat,text
public,BKPF,rldnr,text
public,BKPF,ldgrp,text
public,BKPF,propmano,text
public,BKPF,xblnr_alt,text
public,BKPF,vatdate,text
public,BKPF,doccat,text
public,BKPF,xsplit,text
public,BKPF,cash_alloc,text
public,BKPF,follow_on,text
public,BKPF,xreorg,text
public,BKPF,subset,text
public,BKPF,kurst,text
public,BKPF,kursx,text
public,BKPF,kur2x,text
public,BKPF,kur3x,text
public,BKPF,xmca,text
public,BKPF,resubmission,text
public,BKPF,/SAPF15/STATUS,text
public,BKPF,psoty,text
public,BKPF,psoak,text
public,BKPF,psoks,text
public,BKPF,psosg,text
public,BKPF,psofn,text
public,BKPF,intform,text
public,BKPF,intdate,text
public,BKPF,psobt,text
public,BKPF,psozl,text
public,BKPF,psodt,text
public,BKPF,psotm,text
public,BKPF,fm_umart,text
public,BKPF,ccins,text
public,BKPF,ccnum,text
public,BKPF,ssblk,text
public,BKPF,batch,text
public,BKPF,sname,text
public,BKPF,sampled,text
public,BKPF,exclude_flag,text
public,BKPF,blind,text
public,BKPF,offset_status,text
public,BKPF,offset_refer_dat,text
public,BKPF,penrc,text
public,BKPF,knumv,text
public,BKPF,pybastyp,text
public,BKPF,pybasno,text
public,BKPF,pybasdat,text
public,BKPF,pyiban,text
public,BKPF,inwardno_hd,text
public,BKPF,inwarddt_hd,text
public,BSAD,mandt,text
public,BSAD,bukrs,text
public,BSAD,kunnr,text
public,BSAD,umsks,text
public,BSAD,umskz,text
public,BSAD,augdt,text
public,BSAD,augbl,text
public,BSAD,zuonr,text
public,BSAD,gjahr,text
public,BSAD,belnr,text
public,BSAD,buzei,text
public,BSAD,budat,text
public,BSAD,bldat,text
public,BSAD,cpudt,text
public,BSAD,waers,text
public,BSAD,xblnr,text
public,BSAD,blart,text
public,BSAD,monat,text
public,BSAD,bschl,text
public,BSAD,zumsk,text
public,BSAD,shkzg,text
public,BSAD,gsber,text
